"PassengerId","Survived","NA"
892,0.888888888888889,0.111111111111111
893,0.733333333333333,0.266666666666667
894,0.888888888888889,0.111111111111111
895,0.888888888888889,0.111111111111111
896,0.733333333333333,0.266666666666667
897,0.888888888888889,0.111111111111111
898,0.357142857142857,0.642857142857143
899,0.888888888888889,0.111111111111111
900,0.357142857142857,0.642857142857143
901,0.888888888888889,0.111111111111111
902,0.888888888888889,0.111111111111111
903,0.703703703703704,0.296296296296296
904,0.0630630630630631,0.936936936936937
905,0.888888888888889,0.111111111111111
906,0.0630630630630631,0.936936936936937
907,0.0630630630630631,0.936936936936937
908,0.888888888888889,0.111111111111111
909,0.888888888888889,0.111111111111111
910,0.733333333333333,0.266666666666667
911,0.357142857142857,0.642857142857143
912,0.703703703703704,0.296296296296296
913,0.0555555555555556,0.944444444444444
914,0.0630630630630631,0.936936936936937
915,0.875,0.125
916,0.0630630630630631,0.936936936936937
917,0.888888888888889,0.111111111111111
918,0.0630630630630631,0.936936936936937
919,0.888888888888889,0.111111111111111
920,0.393939393939394,0.606060606060606
921,0.888888888888889,0.111111111111111
922,0.888888888888889,0.111111111111111
923,0.888888888888889,0.111111111111111
924,0.733333333333333,0.266666666666667
925,0.833333333333333,0.166666666666667
926,0.393939393939394,0.606060606060606
927,0.888888888888889,0.111111111111111
928,0.357142857142857,0.642857142857143
929,0.357142857142857,0.642857142857143
930,0.888888888888889,0.111111111111111
931,0.888888888888889,0.111111111111111
932,0.888888888888889,0.111111111111111
933,0.393939393939394,0.606060606060606
934,0.888888888888889,0.111111111111111
935,0.0630630630630631,0.936936936936937
936,0.0630630630630631,0.936936936936937
937,0.888888888888889,0.111111111111111
938,0.703703703703704,0.296296296296296
939,0.888888888888889,0.111111111111111
940,0.0630630630630631,0.936936936936937
941,0.357142857142857,0.642857142857143
942,0.875,0.125
943,0.888888888888889,0.111111111111111
944,0.0630630630630631,0.936936936936937
945,0.0630630630630631,0.936936936936937
946,0.888888888888889,0.111111111111111
947,0.9,0.1
948,0.888888888888889,0.111111111111111
949,0.888888888888889,0.111111111111111
950,0.888888888888889,0.111111111111111
951,0.0630630630630631,0.936936936936937
952,0.888888888888889,0.111111111111111
953,0.888888888888889,0.111111111111111
954,0.888888888888889,0.111111111111111
955,0.357142857142857,0.642857142857143
956,0.0555555555555556,0.944444444444444
957,0.0630630630630631,0.936936936936937
958,0.357142857142857,0.642857142857143
